id,hhb,hbo2,ca,na
10000,9.29472284354257,3.434113469954162,6.42840844618664,1.3052937158868052
10001,7.484594002675856,1.7643999128446013,10.614967650150042,3.000319798299965
10002,7.522162856221005,5.619876090337944,10.293350584597151,5.090405292597996
10003,7.032926900243247,4.2557912255852095,10.88406997179483,4.971605166640397
10004,9.08792871153097,3.19458094860928,10.68127345296616,4.359166597800879
10005,6.51424190577869,4.49332469155588,8.838112919284606,1.8417085000834268
10006,10.774050863600454,3.385047717877451,11.257611211319636,2.631591296860417
10007,9.328446883942368,5.443665737007909,11.106514369435999,1.7233306266049364
10008,5.853951277035351,4.322593237869776,8.635983315677597,2.032955922859014
10009,9.409435782063445,4.03349711146028,6.044310103549675,2.910395729243962
10010,11.284061681803902,4.322157414213176,9.26367766544097,7.17173016997245
10011,9.275160118746928,2.831915467916964,5.506691747766302,5.895652184272087
10012,7.319428626509068,3.465073097536697,9.915948002572513,3.155292606369424
10013,7.980221386419499,4.143590015100619,13.416588248140798,3.381950807686137
10014,9.783241343122988,5.0905011829203355,6.944471421418401,2.6662823945082677
10015,4.053566378846167,4.55475797634932,9.378353276738563,5.757437419594304
10016,9.417748727398626,5.595274955576457,6.92803421718405,6.543986002854949
10017,9.98984235058059,2.6392877095263327,9.76763684139676,2.736254954113027
10018,9.930742560695682,4.569895155757887,6.351093628558067,2.8885120556418897
10019,8.042848295464065,3.829202143414836,8.097516345498361,2.7828536633168683
10020,8.402474840156422,3.6475366416780792,7.395157193385881,0.2977228889480959
10021,12.14301065632236,5.115638559223354,9.553557098875501,1.1524246556132178
10022,11.760096096287286,4.735634022871025,11.287202149493625,5.609294965433855
10023,6.727137629264828,3.574125916691728,8.718318322729093,1.7455309037207496
10024,7.661650049583775,4.93834960071029,8.655257519068178,4.129063730031102
10025,10.532614221637127,3.8608130589569623,12.39087057477342,3.263535290514972
10026,11.46590149865427,4.40135132729922,7.7357872984879625,1.407948759434421
10027,15.148780433099608,4.43316955959327,9.685454268656434,5.653830469306428
10028,1.6303948395552483,4.691125478967789,5.898370407145641,2.5926580759484286
10029,8.962376294389863,3.3844218724404698,8.614746722530986,3.0546696623665306
10030,4.11965419914886,3.219336195640463,5.619707797747421,5.349207908258076
10031,5.211426109768935,4.613094872496902,7.740171520428977,4.644316893727351
10032,13.12902284224441,4.684590063077934,7.599314926179377,4.635275655330228
10033,8.229838648685238,3.341795978360033,6.087259378600858,5.5159174031162665
10034,9.869962323283426,3.1273107517905387,9.255483638456914,2.1542248632259726
10035,6.350297449013904,3.185304403803803,10.198232820719479,2.9969837179696897
10036,5.453635288217033,3.576231705733669,5.8913953508772,5.150943886876091
